Type,Name,ScorePct,X-Platform-Score,
iOS,Apple iPhone SE 3rd Gen,(10%),20748,
iOS,Apple iPhone 13,(10%),20612,
Desktop,Intel Core i5-9600K @ 3.70GHz,(10%),20496,
Desktop,Intel Core i5-9600KF @ 3.70GHz,(10%),20463,
iOS,Apple iPad Mini 6 (WiFi),(10%),20225,
Desktop,AMD Ryzen 3 3100,(10%),19967,
Laptop,Intel Core i7-1185G7 @ 3.00GHz,(10%),19946,
Laptop,AMD Ryzen 5 5500U,(10%),19905,
Android,OPPO Find X2,(10%),19826,
Laptop,Intel Core i7-1165G7 @ 2.80GHz,(10%),19776,
iOS,Apple iPad Pro 11.0 (WiFi 6GB RAM),(10%),19638,
iOS,Apple iPhone 13 Mini,(9%),19492,
Desktop,Intel Core i5-8600K @ 3.60GHz,(9%),19477,
iOS,Apple iPad Mini 6 (Cellular),(9%),19353,
iOS,Apple iPad Pro 12.9 3nd Gen (Cellular 6GB RAM),(9%),19346,
iOS,Apple iPad Pro 11.0 (Cellular 6GB RAM),(9%),19236,
iOS,Apple iPad Pro 12.9 4th Gen (Cellular),(9%),19197,
iOS,Apple iPad Pro 11.0 2nd Gen (Cellular),(9%),19169,
iOS,Apple iPad Pro 12.9 3nd Gen (Cellular),(9%),19106,
iOS,Apple iPad Pro 12.9 4th Gen (WiFi),(9%),19073,
iOS,Apple iPad Pro 11.0 (Cellular),(9%),19014,
iOS,Apple iPad Pro 11.0 (WiFi),(9%),19007,
iOS,Apple iPad Air 4 (WiFi),(9%),18947,
iOS,Apple iPad Air 4 (Cellular),(9%),18925,
iOS,Apple iPad Pro 11.0 2nd Gen (WiFi),(9%),18765,
Laptop,Intel Core i7-8750H @ 2.20GHz,(9%),18752,
iOS,Apple iPad Pro 12.9 3nd Gen (WiFi),(9%),18641,
iOS,Apple iPad1318,(9%),18612,
Laptop,Intel Core i5-1135G7 @ 2.40GHz,(9%),18353,
Desktop,Intel Core i7-7700K @ 4.20GHz,(9%),18230,
iOS,Apple iPhone 12 Pro Max,(9%),18193,
Laptop,AMD Ryzen 5 4500U,(9%),18119,
Android,Nubia NX709S,(9%),18010,
iOS,Apple iPhone 12,(9%),17931,
Desktop,Intel Core i5-9400F @ 2.90GHz,(9%),17927,
iOS,Apple iPhone 12 Pro,(9%),17853,
Android,Samsung SM-F721U,(9%),17732,
Desktop,Intel Core i5-8500 @ 3.00GHz,(9%),17711,
Desktop,Intel Core i5-9400 @ 2.90GHz,(9%),17677,
Desktop,Intel Core i5-8400 @ 2.80GHz,(8%),17501,
Android,Samsung SM-S908N,(8%),17317,
Android,Samsung SM-F936U,(8%),17235,
Android,Samsung SM-F936B,(8%),17107,
Android,Samsung SM-F721B,(8%),17031,
Desktop,Intel Core i7-6700K @ 4.00GHz,(8%),17021,
Desktop,Intel Core i7-4790K @ 4.00GHz,(8%),17017,
Android,motorola edge 30 ultra,(8%),16852,
Android,Asus ASUS_AI2201_C,(8%),16792,
Android,Asus ASUS_AI2202,(8%),16775,
Android,Nubia NX679J,(8%),16701,
Android,Google Pixel 7 Pro,(8%),16577,
Desktop,Intel Core i7-7700 @ 3.60GHz,(8%),16524,
Desktop,Intel Core i5-10300H @ 2.50GHz,(8%),16516,
Android,Lenovo L71061,(8%),16494,
Android,OnePlus CPH2415,(8%),16243,
iOS,Apple iPhone 12 Mini,(8%),16117,
Android,Google Pixel 7,(8%),15998,
Android,Samsung SM-X900,(8%),15839,
Android,Samsung SM-X800,(8%),15818,
iOS,Apple iPad 9 (Cellular),(8%),15767,
Android,OnePlus CPH2417,(8%),15727,
Android,motorola edge 30 pro,(8%),15706,
Android,motorola edge plus (2022),(8%),15692,
Android,Realme RMX3300,(8%),15679,
Desktop,Intel Core i3-10100F @ 3.60GHz,(7%),15668,
Desktop,Intel Core i3-10100 @ 3.60GHz,(7%),15641,
Desktop,Intel Core i7-6700 @ 3.40GHz,(7%),15638,
Android,Samsung SM-S906U1,(7%),15612,
Android,Samsung SM-F936U1,(7%),15565,
Laptop,Intel Core i7-1065G7 @ 1.30GHz,(7%),15515,
Desktop,Intel Core i7-4790 @ 3.60GHz,(7%),15391,
Android,Samsung SM-S906U,(7%),15389,
Android,Google Pixel 6,(7%),15312,
Android,Samsung SM-X906B,(7%),15306,
Android,Xiaomi 22081212UG,(7%),15182,
Desktop,Intel Core i7-4770K @ 3.50GHz,(7%),15181,
Desktop,Intel Core i7-4770 @ 3.40GHz,(7%),15170,
Android,Samsung SM-S906E,(7%),15160,
iOS,Apple iPad 9 (WiFi),(7%),15121,
Android,Samsung SM-S9010,(7%),15112,
Android,Samsung SM-X700,(7%),15039,
Android,Google Pixel 6a,(7%),15025,
Laptop,Intel Core i5-9300H @ 2.40GHz,(7%),15008,
Android,Samsung SM-S9080,(7%),14947,
Android,OnePlus NE2213,(7%),14947,
Android,Samsung SM-S908E,(7%),14939,
Android,Asus ASUS_AI2201_D,(7%),14912,
Android,Samsung SM-S908U1,(7%),14876,
Android,OnePlus NE2210,(7%),14842,
Android,OPPO CPH2305,(7%),14841,
Android,Xiaomi 22041216G,(7%),14747,
Android,Samsung SM-S908W,(7%),14741,
Desktop,AMD FX-8350 Eight-Core,(7%),14721,
Android,Huawei NOH-NX9,(7%),14701,
Android,Sony XQ-BQ42,(7%),14699,
Android,OnePlus NE2211,(7%),14686,
Laptop,Intel Core i5-8300H @ 2.30GHz,(7%),14641,
Android,Google Pixel 6 Pro,(7%),14628,
Android,Samsung SM-S908U,(7%),14604,
Android,Samsung SM-S901E,(7%),14592,
Android,Realme RMX3301,(7%),14578,
Android,Sony SO-51B,(7%),14506,
Android,Sony SOG03,(7%),14319,
Android,OnePlus CPH2419,(7%),14315,
Android,Xiaomi 21121210G,(7%),14293,
Android,Samsung SM-S908B,(7%),14287,
Android,Nubia NX666J,(7%),14192,
Android,Sony XQ-BQ52,(7%),14176,
Android,Samsung SM-S901B,(7%),14134,
iOS,Apple iPhone 11,(7%),14115,
Android,OnePlus NE2215,(7%),14096,
Android,Realme RMX3561,(7%),14063,
Android,Microsoft Surface Duo 2,(7%),14058,
Android,Samsung SM-S901W,(7%),14055,
Android,Asus ASUS_I004D,(7%),14050,
iOS,Apple iPhone SE 2nd Gen,(7%),14042,
Android,Sony XQ-BE42,(7%),13947,
Android,Samsung SM-G996W,(7%),13924,
Android,Lenovo L70081,(7%),13921,
Android,Sony XQ-BC52,(7%),13905,
Android,Samsung SM-F926W,(7%),13884,
Desktop,Intel Core i7-3770K @ 3.50GHz,(7%),13868,
Desktop,Intel Core i7-3770 @ 3.40GHz,(7%),13850,
Android,motorola edge 30 fusion,(7%),13842,
Android,Vivo V2045,(7%),13808,
Android,Vivo I2009,(7%),13801,
Android,Samsung SM-S906B,(7%),13797,
Android,Samsung SM-S901U,(7%),13786,
Android,Samsung SM-G998B,(7%),13755,
Android,Samsung SM-S901U1,(7%),13739,
Android,Xiaomi M2012K11I,(7%),13726,
Android,Samsung SM-G996B,(7%),13725,
Android,Samsung SM-G998U1,(7%),13723,
Android,OnePlus 9,(6%),13712,
Laptop,Intel Core i7-10510U @ 1.80GHz,(6%),13705,
Android,Xiaomi 22071212AG,(6%),13680,
Android,Xiaomi 22041216I,(6%),13638,
Android,Samsung Galaxy S21 5G (Exynos),(6%),13635,
Android,OnePlus 9 Pro,(6%),13583,
Android,Samsung Galaxy S21 5G (Snapdragon),(6%),13558,
Android,Huawei DBY-W09,(6%),13543,
Android,Sony XQ-BC72,(6%),13525,
Desktop,AMD Ryzen 5 3400G,(6%),13517,
Laptop,Intel Core i7-6820HQ @ 2.70GHz,(6%),13512,
Android,Samsung SM-G996U1,(6%),13468,
Android,Samsung SM-G998U,(6%),13467,
Android,Samsung SM-F711B,(6%),13457,
Android,Asus ASUS_I006D,(6%),13456,
Android,Motorola moto g200 5G,(6%),13440,
Android,Xiaomi 2201123G,(6%),13432,
Android,Samsung SM-G990E,(6%),13392,
Android,Samsung SM-F926U1,(6%),13351,
Android,Lenovo YT-K606F,(6%),13342,
Desktop,AMD FX-8320 Eight-Core,(6%),13335,
Android,Vivo iQOO 3 5G,(6%),13332,
Android,Samsung SM-G960N,(6%),13252,
Android,Vivo I2202,(6%),13252,
Android,Vivo I2012,(6%),13227,
Android,Samsung SM-F926B,(6%),13220,
Android,Nubia NX669J,(6%),13208,
Android,OnePlus LE2100,(6%),13200,
Android,Samsung SM-F711U,(6%),13198,
Android,Xiaomi M2012K11C,(6%),13174,
Android,Samsung SM-F926U,(6%),13168,
Android,Xiaomi M2011K2C,(6%),13162,
Android,Samsung SM-G996U,(6%),13158,
Android,Samsung SM-G990U,(6%),13156,
Android,Samsung SM-G998W,(6%),13131,
Android,LGE LM-V600,(6%),13115,
Android,Motorola XT2125-4,(6%),13113,
Android,Lenovo TB-J716F,(6%),13088,
Android,SHARP AQUOS R5G,(6%),13050,
Android,Samsung SM-G990W,(6%),13027,
Android,Samsung Galaxy Tab S7 5G,(6%),12992,
Android,OPPO CPH2173,(6%),12985,
Android,motorola edge 20 pro,(6%),12967,
iOS,Apple iPhone 11 Pro Max,(6%),12963,
Android,Samsung SM-F711U1,(6%),12958,
Android,Motorola Edge Plus,(6%),12911,
iOS,Apple iPhone 11 Pro,(6%),12911,
Android,Xiaomi M2012K11G,(6%),12908,
Laptop,Intel Core i5-1035G1 @ 1.00GHz,(6%),12889,
Android,Samsung SM-T975,(6%),12874,
Android,Samsung Galaxy Tab S7,(6%),12865,
Android,Xiaomi 2107113SG,(6%),12852,
Desktop,Intel Core i3-9100F @ 3.60GHz,(6%),12852,
Android,Asus ASUS_I005DA,(6%),12852,
Android,Xiaomi 2201122G,(6%),12826,
Android,OnePlus CPH2399,(6%),12804,
Android,Samsung SM-G990B2,(6%),12788,
Android,Asus ASUS_I005DC,(6%),12778,
Android,OnePlus 8T+ 5G,(6%),12772,
Android,OnePlus 8 5G,(6%),12760,
Android,Sony XQ-BE52,(6%),12759,
Android,Xiaomi M2011K2G,(6%),12747,
Android,OnePlus MT2111,(6%),12743,
Android,Xiaomi M2102K1G,(6%),12732,
Laptop,Intel Core i7-8650U @ 1.90GHz,(6%),12721,
Android,Asus ROG Phone 3,(6%),12712,
Android,Blackshark SHARK KLE-H0,(6%),12706,
Desktop,AMD Ryzen 5 2400G,(6%),12689,
Laptop,Intel Core i7-7700HQ @ 2.80GHz,(6%),12688,
Android,Samsung Galaxy S20 Plus 5G (Exynos),(6%),12687,
Android,Nubia Red Magic 5G,(6%),12674,
Laptop,Intel Core i7-8565U @ 1.80GHz,(6%),12669,
Android,Samsung Galaxy Tab S7+,(6%),12667,
Android,OnePlus 8,(6%),12665,
Android,Samsung Galaxy Z Fold2,(6%),12664,
Android,Xiaomi POCO F2 Pro,(6%),12663,
Android,Samsung SM-G9980,(6%),12661,
Android,Xiaomi M2012K11AC,(6%),12653,
Android,Samsung Galaxy Note20 5G (Exynos),(6%),12648,
Android,Motorola moto g(100),(6%),12646,
Android,Samsung Galaxy S20 Plus (Exynos),(6%),12637,
Android,Realme RMX2202,(6%),12625,
Android,Samsung SM-G990B,(6%),12624,
Android,Samsung Galaxy Note 20 Ultra 5G (Snapdragon),(6%),12623,
Android,OnePlus 8T,(6%),12619,
iOS,Apple iPad Mini 5 (Cellular),(6%),12609,
Android,Samsung Galaxy S20 Ultra 5G (Exynos),(6%),12590,
Android,Samsung SM-T970,(6%),12581,
Android,Samsung Galaxy S20 5G (Exynos),(6%),12578,
Android,Lenovo TB-Q706F,(6%),12569,
iOS,Apple iPad Air 3 (Cellular),(6%),12562,
Desktop,Intel Core i5-4690K @ 3.50GHz,(6%),12531,
Android,Samsung Galaxy S20 Plus 5G (Snapdragon),(6%),12510,
Android,Samsung Galaxy Note20 5G (Snapdragon),(6%),12509,
Android,Samsung Galaxy S20 FE 5G (Snapdragon),(6%),12505,
Android,Samsung SM-N985F,(6%),12505,
Android,OnePlus 8 Pro,(6%),12501,
Android,Xiaomi 21081111RG,(6%),12462,
Android,Realme X50 Pro 5G,(6%),12458,
Android,Xiaomi Mi 10T Pro 5G (Various Models),(6%),12442,
Android,Samsung SM-G780G,(6%),12427,
Android,Realme RMX3311,(6%),12399,
Android,LENOVO TB132FU,(6%),12378,
Desktop,Intel Core i5-6600K @ 3.50GHz,(6%),12354,
Android,OnePlus DN2103,(6%),12351,
Android,Xiaomi M2102K1C,(6%),12329,
Android,Xiaomi 22021211RG,(6%),12329,
Android,Samsung Galaxy S20 5G (Snapdragon),(6%),12327,
Android,Samsung SM-G998N,(6%),12324,
Android,Xiaomi M2102K1AC,(6%),12323,
Android,Samsung SM-G990U1,(6%),12312,
Android,OPPO Find X2 Pro,(6%),12299,
iOS,Apple iPad 8 (Cellular),(6%),12282,
Android,Samsung Galaxy Note 20 Ultra 5G (Exynos),(6%),12266,
Android,Samsung SM-T976B,(6%),12264,
iOS,Apple iPad 8 (WiFi),(6%),12262,
iOS,Apple iPad Air 3 (WiFi),(6%),12250,
iOS,Apple iPad Mini 5 (WiFi),(6%),12237,
Android,Asus ZenFone 7,(6%),12220,
Android,OPPO CPH2249,(6%),12207,
Android,Samsung Galaxy S20 Ultra 5G (Snapdragon),(6%),12184,
Android,Xiaomi M2012K11AG,(6%),12179,
Laptop,Intel Core i7-8550U @ 1.80GHz,(6%),12164,
Android,Samsung Galaxy S20 (Exynos),(6%),12156,
Android,Asus ASUS_I005D,(6%),12144,
Android,Xiaomi M2012K11AI,(6%),12126,
Android,Samsung SM-G780F,(6%),12113,
Android,OnePlus LE2101,(6%),12110,
Android,OPPO CPH2247,(6%),12068,
Android,Samsung SM-N980F,(6%),12034,
Android,Xiaomi IN2023,(6%),12010,
Android,Google volteer,(6%),11969,
Laptop,Intel Core i7-6700HQ @ 2.60GHz,(6%),11966,
Android,OPPO CPH2207,(6%),11949,
Android,Xiaomi 2112123AG,(6%),11928,
Android,Sony Xperia 1 II,(6%),11926,
Laptop,Intel Core i5-10210U @ 1.60GHz,(6%),11922,
Android,Xiaomi Mi 10,(6%),11911,
Android,Realme RMX3370,(6%),11890,
Android,Realme RMX3031,(6%),11876,
Desktop,Intel Core i5-4590 @ 3.30GHz,(6%),11874,
Laptop,AMD Ryzen 7 3750H,(6%),11869,
Android,Vivo I1927,(6%),11832,
Desktop,Intel Core i3-8100 @ 3.60GHz,(6%),11789,
Laptop,Intel Core i5-8350U @ 1.70GHz,(6%),11782,
iOS,Apple iPhone XS,(5%),11705,
Desktop,AMD Ryzen 3 3200G,(5%),11698,
Desktop,Intel Core i7-2600K @ 3.40GHz,(5%),11672,
Android,Sony Xperia 5 II,(5%),11636,
Android,Xiaomi M2104K10I,(5%),11622,
Desktop,Intel Core i5-4570 @ 3.20GHz,(5%),11599,
Android,LGE LM-V600V,(5%),11594,
Android,Xiaomi 22021211RI,(5%),11573,
Android,Vivo V2105,(5%),11552,
Desktop,Intel Core i5-7500 @ 3.40GHz,(5%),11527,
iOS,Apple iPhone XR,(5%),11499,
Android,Xiaomi 21061110AG,(5%),11484,
iOS,Apple iPhone XS Max,(5%),11475,
Android,Vivo I2019,(5%),11473,
Laptop,Intel Core i5-8265U @ 1.60GHz,(5%),11463,
Desktop,Intel Core i5-3570K @ 3.40GHz,(5%),11446,
Android,Huawei JAD-LX9,(5%),11431,
Desktop,Intel Core i7-2600 @ 3.40GHz,(5%),11415,
Android,Realme RMX2076,(5%),11405,
Laptop,AMD Ryzen 5 3550H,(5%),11384,
Desktop,Intel Core i5-3570 @ 3.40GHz,(5%),11234,
Android,OnePlus DN2101,(5%),11189,
Desktop,AMD Ryzen 3 2200G,(5%),11161,
Laptop,Intel Core i5-8250U @ 1.60GHz,(5%),11150,
Android,Huawei P40,(5%),11125,
Android,Xiaomi M2104K10AC,(5%),11086,
Android,Xiaomi M2012K10C,(5%),11044,
Desktop,Intel Core i5-6500 @ 3.20GHz,(5%),11020,
Android,Asus ROG Phone II,(5%),10943,
Android,Blackshark SHARK PRS-H0,(5%),10935,
Laptop,Intel Core i7-3630QM @ 2.40GHz,(5%),10929,
Laptop,Intel Core i3-1115G4 @ 3.00GHz,(5%),10913,
Desktop,Intel Core i5-4460 @ 3.20GHz,(5%),10866,
Android,Xiaomi Mi 10 Pro,(5%),10838,
Android,Samsung Galaxy Note 10 Plus (Exynos),(5%),10817,
Android,Samsung Galaxy Note 10 (Exynos),(5%),10804,
Android,Samsung Galaxy S10e (Exynos),(5%),10764,
Android,Samsung Galaxy S10 Plus (Exynos),(5%),10751,
Android,Huawei VRD-W10,(5%),10744,
Desktop,Intel Core i5-3470 @ 3.20GHz,(5%),10728,
Desktop,Intel Core i5-7400 @ 3.00GHz,(5%),10703,
Android,Samsung SM-T575,(5%),10584,
Android,Realme RMX2121,(5%),10577,
Android,Samsung Galaxy S10 5G (Exynos),(5%),10556,
Android,Xiaomi Mi MIX 3 5G,(5%),10528,
Android,LGE LM-V510N,(5%),10520,
Android,Samsung SCV42,(5%),10497,
Desktop,AMD FX-6300 Six-Core,(5%),10467,
Android,Huawei HW-02L,(5%),10447,
Android,Samsung Galaxy S10 (Exynos),(5%),10445,
iOS,Apple iPhone 8 Plus,(5%),10439,
Android,Huawei P40 Pro,(5%),10433,
Android,Samsung Galaxy Note 10 Plus 5G (Exynos),(5%),10410,
Android,Huawei EVR-L29,(5%),10391,
Laptop,AMD Ryzen 5 3500U,(5%),10383,
Android,Samsung Galaxy Note 10 5G (Exynos),(5%),10330,
Android,Sony J9260,(5%),10330,
Android,Samsung SM-M625F,(5%),10314,
iOS,Apple iPhone X,(5%),10260,
Android,Samsung Galaxy Tab S6 10.5 (2019),(5%),10253,
Android,Huawei P30 Pro,(5%),10223,
Android,OPPO CPH2201,(5%),10188,
Android,Samsung Galaxy S10e (Snapdragon),(5%),10176,
Desktop,Intel Core i5-6400 @ 2.70GHz,(5%),10174,
Android,LGE LM-G900TM,(5%),10167,
Android,Xiaomi Redmi K20 Pro Premium Edition,(5%),10154,
Android,Huawei ELE-L04,(5%),10150,
Android,OnePlus 7 Pro 5G,(5%),10138,
Android,Samsung Galaxy S10 Plus (Snapdragon),(5%),10135,
iOS,Apple iPhone 8,(5%),10129,
Android,Huawei Honor View 20,(5%),10111,
Android,LGE G8 ThinQ,(5%),10084,
Android,OPPO CPH1921,(5%),10072,
Android,Sony Xperia 1,(5%),10059,
Android,OnePlus 7T,(5%),10006,
Android,Huawei Mate 20 Pro (Various Models),(5%),9946,
Android,OnePlus 7T Pro,(5%),9929,
Android,Xiaomi M2007J1SC,(5%),9911,
Android,Sony J9210,(5%),9909,
Laptop,Intel Core i5-7300HQ @ 2.50GHz,(5%),9894,
Android,Samsung Galaxy S10 Lite (Snapdragon),(5%),9889,
Android,Huawei VOG-AL10,(5%),9882,
Android,Samsung Galaxy Note 10 Plus 5G (Snapdragon),(5%),9857,
Android,Asus ROG Phone,(5%),9833,
Android,Huawei LYA-AL00,(5%),9833,
Android,Xiaomi MI 9,(5%),9827,
Android,Huawei P30,(5%),9826,
Android,Microsoft Surface Duo,(5%),9797,
Android,Samsung Galaxy S10 (Snapdragon),(4%),9787,
Android,Asus ZenFone 6,(4%),9766,
Android,Samsung Galaxy Note 10 Plus (Snapdragon),(4%),9732,
Android,Huawei Mate 20,(4%),9722,
Android,Xiaomi Mi 9T Pro,(4%),9722,
Android,Samsung SM-A528N,(4%),9713,
Android,Xiaomi M2102J20SG,(4%),9709,
Android,Samsung Galaxy S9+ (Exynos),(4%),9706,
Android,Huawei Honor 20 Pro,(4%),9706,
Android,LGE LM-G850,(4%),9700,
Android,Google Pixel 4 XL,(4%),9670,
Android,Samsung Galaxy Note 9 (Exynos),(4%),9667,
Android,OnePlus 7 Pro,(4%),9662,
Android,Nothing A063,(4%),9658,
Android,Vivo I2018,(4%),9625,
Android,Samsung SM-T733,(4%),9615,
Android,Xiaomi 21051182G,(4%),9590,
Android,OnePlus 7T Pro 5G,(4%),9588,
Android,LGE LM-V500N,(4%),9586,
Android,OnePlus 7,(4%),9559,
Android,Samsung SM-F700F,(4%),9557,
Android,HONOR NTH-NX9,(4%),9554,
Android,motorola edge 30,(4%),9500,
Android,Google Pixel 4,(4%),9493,
Android,Lenovo L78032,(4%),9483,
Android,Realme RMX2086,(4%),9463,
Android,LGE LM-V450,(4%),9457,
Android,Huawei YAL-L21,(4%),9429,
Android,Google Pixel 5,(4%),9409,
Desktop,Intel Core i5-2500K @ 3.30GHz,(4%),9397,
Android,Samsung Galaxy S9 (Exynos),(4%),9393,
Android,Nubia Red Magic 3,(4%),9376,
Android,Samsung Galaxy Note 10 (Snapdragon),(4%),9358,
Desktop,Intel Core i5-2500 @ 3.30GHz,(4%),9349,
Android,Samsung SM-A528B,(4%),9322,
Android,Xiaomi M2101K9G,(4%),9319,
Android,Xiaomi M2102J20SI,(4%),9299,
Android,LGE LM-G910,(4%),9287,
Android,Sony H8166,(4%),9286,
Android,motorola edge (2021),(4%),9284,
Android,Asus ZenFone 5Z,(4%),9271,
Android,Razer Phone 2,(4%),9211,
Android,Samsung Galaxy A90 5G,(4%),9183,
Android,Vivo 1805,(4%),9173,
Android,motorola edge 5G UW (2021),(4%),9154,
Android,Xiaomi Mi MIX 3,(4%),9153,
Android,Sony H8324,(4%),9144,
Android,Sony Xperia XZ2 Premium,(4%),9143,
Android,Sony H8416,(4%),9126,
Android,motorola edge 20,(4%),9105,
Android,Samsung SM-M526B,(4%),9097,
Android,Xiaomi M2101K9R,(4%),9095,
Android,Vivo V1914A,(4%),9091,
Android,Xiaomi Redmi K20 Pro,(4%),9068,
Android,Realme RMX3360,(4%),9060,
Android,Samsung Galaxy Note 10 Lite (Exynos),(4%),9051,
Android,Sony H8314,(4%),9049,
Android,Xiaomi 2109119DG,(4%),9016,
Android,Lenovo Z6 Pro,(4%),8999,
Android,HMD Global Nokia 9,(4%),8993,
Android,Samsung SM-E625F,(4%),8968,
Android,Samsung SM-M526BR,(4%),8958,
Android,Sony SO-01L,(4%),8954,
Android,Samsung SM-A736B,(4%),8953,
Android,Sony Xperia XZ2 Compact,(4%),8951,
Android,Sony SOV37,(4%),8929,
Android,Ulefone Armor 10 5G,(4%),8905,
Android,Google asurada,(4%),8895,
Android,Ulefone Armor 11 5G,(4%),8881,
Android,Ulefone Armor 11T 5G,(4%),8831,
Desktop,Intel Core i5-2400 @ 3.10GHz,(4%),8820,
Android,Google Pixel 3 XL,(4%),8807,
Android,OnePlus 6T,(4%),8795,
Android,Realme RMX3363,(4%),8792,
Android,Blackview BL6000Pro,(4%),8786,
Android,OnePlus 6,(4%),8772,
